prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
SORAFENIB TOSYLATE,['Nexavar' 'Sorafenib accord'],Small molecule,"renal cell carcinoma, thyroid carcinoma","Mast/stem cell growth factor receptor Kit, Platelet-derived growth factor receptor beta, Proto-oncogene tyrosine-protein kinase receptor Ret, RAF proto-oncogene serine/threonine-protein kinase, Receptor-type tyrosine-protein kinase FLT3, Serine/threonine-protein kinase B-raf, Vascular endothelial growth factor receptor","BRAF, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RAF1, RET","Enzyme, Secreted protein, Unclassified protein","Platelet-derived growth factor receptor beta inhibitor, Serine/threonine-protein kinase B-raf inhibitor, Serine/threonine-protein kinase RAF inhibitor, Stem cell growth factor receptor inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase receptor RET inhibitor, Vascular endothelial growth factor receptor inhibitor"
SOTAGLIFLOZIN,['Inpefa' 'Zynquista'],Small molecule,"chronic kidney disease, diabetes mellitus, heart failure, nasopharyngeal neoplasm, type 1 diabetes mellitus, type 2 diabetes mellitus","Sodium/glucose cotransporter 1, Sodium/glucose cotransporter 2","SLC5A1, SLC5A2",Transporter,"Sodium/glucose cotransporter 1 inhibitor, Sodium/glucose cotransporter 2 inhibitor"
SOTALOL,[],Small molecule,cardiovascular disease,"Beta-1 adrenergic receptor, Beta-2 adrenergic receptor, Voltage-gated inwardly rectifying potassium channel KCNH2","ADRB1, ADRB2, KCNH2","Ion channel, Membrane receptor","Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist, HERG blocker"
SOTALOL HYDROCHLORIDE,"['Beta-cardone' 'Betapace' 'Betapace af' 'Sorine' 'Sotacor' 'Sotalex'
 'Sotalol hydrochloride' 'Sotalol hydrochloride component of sotylize'
 'Sotylize']",Small molecule,Ventricular arrhythmia,"Beta-1 adrenergic receptor, Beta-2 adrenergic receptor, Voltage-gated inwardly rectifying potassium channel KCNH2","ADRB1, ADRB2, KCNH2","Ion channel, Membrane receptor","Beta-1 adrenergic receptor antagonist, Beta-2 adrenergic receptor antagonist, HERG blocker"
SOTATERCEPT,['Winrevair'],Protein,pulmonary arterial hypertension,Inhibin beta A chain,INHBA,Secreted protein,Inhibin beta A chain inhibitor
SOTORASIB,['Lumakras' 'Lumykras'],Small molecule,"neoplasm, non-small cell lung carcinoma",GTPase KRas,KRAS,"Enzyme, Unclassified protein",GTPase KRas inhibitor
SPARSENTAN,['Filspari'],Small molecule,IGA glomerulonephritis,"Endothelin-1 receptor, Type-1 angiotensin II receptor","AGTR1, EDNRA",Membrane receptor,"Endothelin receptor ET-A antagonist, Type-1 angiotensin II receptor antagonist"
SPESOLIMAB,['Spevigo'],Antibody,"immune system disease, psoriasis",IL36 receptor,"IL1RAP, IL1RL2",Enzyme,IL36 receptor antagonist
SPIRAPRIL,[],Small molecule,cardiovascular disease,Angiotensin-converting enzyme,ACE,Enzyme,Angiotensin-converting enzyme inhibitor
SPIRONOLACTONE,"['Abbolactone' 'Aldactone' 'Carospir' 'Diatensec' 'Gx spironol'
 'Laractone' 'Qaialdo' 'Spiretic' 'Spiroctan 100' 'Spiroctan 25'
 'Spiroctan 50' 'Spironolactone' 'Spironolactone ceva'
 'Spironolactone component of aldactazide'
 'Spironolactone component of cardalis' 'Spirospare 100' 'Spirospare 25']",Small molecule,"cardiovascular disease, cirrhosis of liver, congestive heart failure, heart failure, hypertension, myocardial infarction, nephrotic syndrome, preeclampsia",Mineralocorticoid receptor,NR3C2,Transcription factor,Mineralocorticoid receptor antagonist
