prefName,tradeNames,drugType,label,targetName,approvedSymbol,targetClass,mechanismOfAction
.ALPHA.1-PROTEINASE INHIBITOR HUMAN,['Respreeza'],Protein,"genetic disorder, hemorrhage, lung disease",Neutrophil elastase,ELANE,Enzyme,Leukocyte elastase inhibitor
ABALOPARATIDE,['Eladynos' 'Tymlos'],Protein,"osteoporosis, postmenopausal osteoporosis",Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R,Membrane receptor,Parathyroid hormone receptor agonist
ABARELIX,['Plenaxis'],Protein,neoplasm,Gonadotropin-releasing hormone receptor,GNRHR,Membrane receptor,Gonadotropin-releasing hormone receptor antagonist
ABATACEPT,['Orencia' 'Orencia clickject'],Protein,"immune system disease, juvenile idiopathic arthritis, psoriatic arthritis, rheumatoid arthritis","T-lymphocyte activation antigen CD80, T-lymphocyte activation antigen CD86","CD80, CD86",Surface antigen,"T-lymphocyte activation antigen CD80 inhibitor, T-lymphocyte activation antigen CD86 inhibitor"
ABCIXIMAB,['Reopro'],Antibody,"Recurrent thrombophlebitis, intermediate coronary syndrome",Integrin alpha-V/beta-3,ITGB3,Membrane receptor,Integrin alpha-V/beta-3 inhibitor
ABEMACICLIB,['Verzenio' 'Verzenios'],Small molecule,"breast cancer, breast carcinoma, breast neoplasm, neoplasm","Cyclin-dependent kinase 4, Cyclin-dependent kinase 6","CDK4, CDK6","Enzyme, Other cytosolic protein","Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor"
ABIRATERONE,['Zytiga'],Small molecule,neoplasm,"Androgen receptor, Steroid 17-alpha-hydroxylase/17,20 lyase, Steroid 5-alpha-reductase","AR, CYP17A1, SRD5A1, SRD5A2, SRD5A3","Enzyme, Transcription factor","Androgen Receptor antagonist, Cytochrome P450 17A1 inhibitor, Steroid 5-alpha-reductase inhibitor"
ABIRATERONE ACETATE,"['Abiraterone accord' 'Abiraterone acetate component of akeega'
 'Abiraterone krka' 'Abiraterone mylan' 'Yonsa' 'Zytiga']",Small molecule,"metastatic prostate cancer, prostate cancer, prostate carcinoma","Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,Enzyme,Cytochrome P450 17A1 inhibitor
ABROCITINIB,['Cibinqo'],Small molecule,"Eczematoid dermatitis, atopic eczema",Tyrosine-protein kinase JAK1,JAK1,Enzyme,Tyrosine-protein kinase JAK1 inhibitor
ACALABRUTINIB,[],Small molecule,"Mantle cell lymphoma, chronic lymphocytic leukemia, neoplasm",Tyrosine-protein kinase BTK,BTK,"Enzyme, Unclassified protein",Tyrosine-protein kinase BTK inhibitor
ACALABRUTINIB MALEATE,['Calquence'],Small molecule,"Mantle cell lymphoma, chronic lymphocytic leukemia",Tyrosine-protein kinase BTK,BTK,"Enzyme, Unclassified protein",Tyrosine-protein kinase BTK inhibitor
ACAMPROSATE,['Aotal'],Small molecule,alcohol dependence,"GABA-A receptor; anion channel, Glutamate [NMDA] receptor","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,"GABA-A receptor; anion channel positive modulator, Glutamate [NMDA] receptor antagonist"
ACAMPROSATE CALCIUM,['Acamprosate calcium' 'Campral' 'Campral ec'],Small molecule,alcohol dependence,"GABA-A receptor; anion channel, Glutamate [NMDA] receptor","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,"GABA-A receptor; anion channel positive modulator, Glutamate [NMDA] receptor antagonist"
ACEBUTOLOL,[],Small molecule,cardiovascular disease,Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
ACEBUTOLOL HYDROCHLORIDE,"['Acebut hcl' 'Acebutolol hydrochloride' 'Sectral' 'Sectral 200'
 'Sectral 400']",Small molecule,"Ventricular arrhythmia, hypertension",Beta-1 adrenergic receptor,ADRB1,Membrane receptor,Beta-1 adrenergic receptor antagonist
ACECLOFENAC,['Gerbin' 'Preservex'],Small molecule,"Arthralgia, Myalgia, osteoarthritis, rheumatic disease, rheumatoid arthritis, spondylitis",Prostaglandin G/H synthase 2,PTGS2,Enzyme,Cyclooxygenase-2 inhibitor
ACEMETACIN,['Emflex'],Small molecule,rheumatic disease,Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
ACENOCOUMAROL,['Sinthrome'],Small molecule,Recurrent thrombophlebitis,Vitamin K epoxide reductase complex subunit 1,VKORC1,Enzyme,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor
ACETAMINOPHEN,"['Abdine' 'Acephen' 'Acetaminophen' 'Acetaminophen component of allay'
 'Acetaminophen component of anexsia' 'Acetaminophen component of anoquan'
 'Acetaminophen component of apadaz' 'Acetaminophen component of bancap'
 'Acetaminophen component of bancap hc' 'Acetaminophen component of bucet'
 'Acetaminophen component of butapap'
 'Acetaminophen component of co-gesic' 'Acetaminophen component of codrix'
 'Acetaminophen component of combogesic'
 'Acetaminophen component of combogesic iv'
 'Acetaminophen component of darvocet'
 'Acetaminophen component of dhc plus'
 'Acetaminophen component of dolene ap-65'
 'Acetaminophen component of drixoral plus'
 'Acetaminophen component of duradyne dhc'
 'Acetaminophen component of esgic' 'Acetaminophen component of excedrin'
 'Acetaminophen component of femcet' 'Acetaminophen component of fioricet'
 'Acetaminophen component of hy-phen'
 'Acetaminophen component of lorcet-hd'
 'Acetaminophen component of lortab'
 'Acetaminophen component of medigesic plus'
 'Acetaminophen component of norcet' 'Acetaminophen component of norco'
 'Acetaminophen component of oxycet' 'Acetaminophen component of percocet'
 'Acetaminophen component of phrenilin'
 'Acetaminophen component of roxicet' 'Acetaminophen component of roxilox'
 'Acetaminophen component of sedapap'
 'Acetaminophen component of synalgos-dc-a'
 'Acetaminophen component of talacen' 'Acetaminophen component of tencon'
 'Acetaminophen component of trezix' 'Acetaminophen component of triad'
 'Acetaminophen component of triaprin'
 'Acetaminophen component of tycolet' 'Acetaminophen component of tylox'
 'Acetaminophen component of ultracet'
 'Acetaminophen component of vicodin' 'Acetaminophen component of wygesic'
 'Acetaminophen component of xartemis' 'Acetaminophen component of zydone'
 'Alvedon' 'Angiers' 'Calpol' 'Calpol six plus'
 'Calpol six plus fastmelts' 'Child lemsip' 'Cupanol' 'Dafalgan' 'Disprol'
 'Disprol infant' 'Disprol jnr' 'Disprol paed' 'Fennings' 'Galpamol'
 'Hedex' 'Infadrops' ""Infants' feverall"" 'Injectapap' 'Junior parapaed'
 'Mandanol' 'Medinol' 'Medinol for children' 'Medinol over 6'
 'Medinol under 6' 'Medised plain' 'Miradol' 'Neopap' 'Ofirmev' 'Paldesic'
 'Panadol' 'Panadol actifast' 'Panadol actifast solb' 'Panadol advan'
 'Panadol jnr' 'Panadol oa' 'Panaleve' 'Panaleve 6 plus' 'Paramin'
 'Parapaed jnr' 'Parapaed six plus' 'Paravict' 'Perfalgan' 'Placidex'
 'Rimadol' 'Salzone' 'Tixymol' 'Tramil 500' 'Tylenol' 'Tylenol (caplet)'
 'Tylenol (geltab)']",Small molecule,"Back pain, Dysmenorrhea, Fever, Headache, Pain, arthritis, common cold, influenza, migraine disorder, muscle cramp, pharyngitis, toothache","Cyclooxygenase, Fatty-acid amide hydrolase 1, Transient receptor potential cation channel subfamily V member 1","FAAH, PTGS1, PTGS2, TRPV1","Enzyme, Ion channel","Anandamide amidohydrolase inhibitor, Cyclooxygenase inhibitor, Vanilloid receptor opener"
ACETAZOLAMIDE,['Acetazolamide' 'Diamox' 'Diamox sr' 'Eytazox'],Small molecule,"Seizure, altitude sickness, angle-closure glaucoma, congestive heart failure, edema, epilepsy, glaucoma, heart failure","Carbonic anhydrase 1, Carbonic anhydrase 12, Carbonic anhydrase 2, Carbonic anhydrase 4","CA1, CA12, CA2, CA4",Enzyme,"Carbonic anhydrase I inhibitor, Carbonic anhydrase II inhibitor, Carbonic anhydrase IV inhibitor, Carbonic anhydrase XII inhibitor"
ACETAZOLAMIDE SODIUM,['Acetazolamide sodium' 'Diamox'],Small molecule,"Seizure, angle-closure glaucoma, edema, glaucoma","Carbonic anhydrase 1, Carbonic anhydrase 12, Carbonic anhydrase 2, Carbonic anhydrase 4","CA1, CA12, CA2, CA4",Enzyme,"Carbonic anhydrase I inhibitor, Carbonic anhydrase II inhibitor, Carbonic anhydrase IV inhibitor, Carbonic anhydrase XII inhibitor"
ACETOHEXAMIDE,['Acetohexamide' 'Dimelor' 'Dymelor'],Small molecule,diabetes mellitus,"Sulfonylurea receptor 1, Kir6.2","ABCC8, KCNJ11","Ion channel, Transporter","Sulfonylurea receptor 1, Kir6.2 blocker"
ACETOPHENAZINE,[],Small molecule,psychosis,D(2) dopamine receptor,DRD2,Membrane receptor,Dopamine D2 receptor antagonist
ACETYLCHOLINE,[],Small molecule,glaucoma,Muscarinic acetylcholine receptor M3,CHRM3,Membrane receptor,Muscarinic acetylcholine receptor M3 agonist
ACETYLCHOLINE CHLORIDE,['Miochol' 'Miochol-e' 'Miphtel'],Small molecule,"Miosis, cataract",Muscarinic acetylcholine receptor M3,CHRM3,Membrane receptor,Muscarinic acetylcholine receptor M3 agonist
ACETYLDIGITOXIN,['Acylanid'],Small molecule,cardiovascular disease,Sodium/potassium-transporting ATPase,"ATP1A1, ATP1A2, ATP1A3, ATP1A4","Enzyme, Transporter",Sodium/potassium-transporting ATPase inhibitor
ACITRETIN,['Acitretin' 'Neotigason' 'Soriatane'],Small molecule,"psoriasis, psoriasis vulgaris",Retinoid receptor,"RARA, RARB, RARG, RXRA, RXRB, RXRG","Enzyme, Transcription factor",Retinoid receptor agonist
ACLIDINIUM BROMIDE,"['Aclidinium bromide component of duaklir pressair' 'Bretaris genuair'
 'Eklira' 'Eklira genuair' 'Tudorza pressair']",Small molecule,"Airway obstruction, asthma, chronic bronchitis, chronic obstructive pulmonary disease, emphysema",Muscarinic acetylcholine receptor M3,CHRM3,Membrane receptor,Muscarinic acetylcholine receptor M3 antagonist
ACRIVASTINE,"['Acrivastine component of semprex-d'
 'Benadryl allgy relief plus decongest' 'Semprex']",Small molecule,allergic disease,Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
ADAGRASIB,['Krazati'],Small molecule,"neoplasm, non-small cell lung carcinoma",GTPase KRas,KRAS,"Enzyme, Unclassified protein",GTPase KRas inhibitor
ADALIMUMAB,"['Amgevita' 'Amsparity' 'Cyltezo' 'Halimatoz' 'Hefiya' 'Hulio' 'Humira'
 'Idacio' 'Imraldi' 'Kromeya' 'Libmyris' 'Solymbic' 'Trudexa']",Antibody,"Crohn's disease, ankylosing spondylitis, arthritis, hidradenitis suppurativa, immune system disease, juvenile idiopathic arthritis, psoriasis, psoriatic arthritis, rheumatoid arthritis, ulcerative colitis, uveitis",Tumor necrosis factor,TNF,Secreted protein,TNF-alpha inhibitor
ADAPALENE,"['Adapalene' 'Adapalene component of cabtreo'
 'Adapalene component of epiduo' 'Adapalene component of idp-126'
 'Differin']",Small molecule,acne,Retinoic acid receptor,"RARA, RARB, RARG","Enzyme, Transcription factor",Retinoic acid receptor agonist
ADENOSINE,['Adenocard' 'Adenocor' 'Adenoscan' 'Adenosine'],Small molecule,"Wolff-Parkinson-White Syndrome, cardiovascular disease, paroxysmal tachycardia",Adenosine receptor,"ADORA1, ADORA2A, ADORA2B, ADORA3",Membrane receptor,Adenosine receptor agonist
ADUCANUMAB,['Aduhelm'],Antibody,"Alzheimer disease, Dementia",Amyloid-beta precursor protein,APP,Membrane receptor,Amyloid-beta A4 protein binding agent
AFAMELANOTIDE,['Scenesse'],Protein,erythropoietic protoporphyria,Melanocyte-stimulating hormone receptor,MC1R,Membrane receptor,Melanocortin receptor 1 agonist
AFATINIB DIMALEATE,['Gilotrif' 'Giotrif'],Small molecule,non-small cell lung carcinoma,"Epidermal growth factor receptor, Receptor tyrosine-protein kinase erbB-2, Receptor tyrosine-protein kinase erbB-4","EGFR, ERBB2, ERBB4","Enzyme, Unclassified protein","Epidermal growth factor receptor erbB1 inhibitor, Receptor protein-tyrosine kinase erbB-2 inhibitor, Receptor protein-tyrosine kinase erbB-4 inhibitor"
AFLIBERCEPT,['Eylea' 'Yesafili' 'Zaltrap'],Protein,"colorectal adenocarcinoma, colorectal cancer, diabetic retinopathy, macrovascular complications of diabetes, macular retinal edema, neoplasm, ocular vascular disease, retinal vein occlusion, wet macular degeneration","Placenta growth factor, Vascular endothelial growth factor A, long form","PGF, VEGFA","Enzyme, Secreted protein","Placenta growth factor inhibitor, Vascular endothelial growth factor A inhibitor"
AGOMELATINE,['Thymanax' 'Valdoxan'],Small molecule,major depressive disorder,"5-hydroxytryptamine receptor 2C, Melatonin receptor","HTR2C, MTNR1A, MTNR1B",Membrane receptor,"Melatonin receptor agonist, Serotonin 2c (5-HT2c) receptor antagonist"
ALBIGLUTIDE,['Eperzan'],Protein,"diabetes mellitus, type 2 diabetes mellitus",Glucagon-like peptide 1 receptor,GLP1R,Membrane receptor,Glucagon-like peptide 1 receptor agonist
ALBUTEROL,"['Aerolin' 'Aerolin 400' 'Aerolin auto' 'Airomir' 'Airsalb' 'Albuterol'
 'Asmasal clickhaler' 'Asmasal spacehaler' 'Asmaven' 'Asmavent'
 'Cobutolin' 'Combivent' 'Combivent udvs' 'Ipramol steri-neb' 'Kentamol'
 'Libetist' 'Maxivent' 'Proventil' 'Proventil hfa' 'Rimasal'
 'Salamol e-breathe' 'Salapin' 'Salbulin novolizer' 'Salbuvent'
 'Salipraneb' 'Steri-neb salamol' 'Ventmax sr' 'Ventodisks' 'Ventolin'
 'Ventolin cr' 'Ventolin e-breathe']",Small molecule,"Airway obstruction, asthma, chronic obstructive pulmonary disease",Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
ALBUTEROL SULFATE,"['Accuneb' 'Albuterol sulfate' 'Albuterol sulfate component of airsupra'
 'Albuterol sulfate component of combivent'
 'Albuterol sulfate component of duoneb' 'Proair' 'Proair digihaler'
 'Proair hfa' 'Proair respiclick' 'Proventil' 'Proventil-hfa'
 'Torpex (albuterol sulfate)' 'Ventolin' 'Ventolin hfa'
 'Ventolin rotacaps' 'Volmax' 'Vospire er']",Small molecule,"asthma, chronic obstructive pulmonary disease",Beta-2 adrenergic receptor,ADRB2,Membrane receptor,Beta-2 adrenergic receptor agonist
ALBUTREPENONACOG ALFA,['Idelvion'],Protein,hemophilia B,Coagulation factor IX,F9,"Enzyme, Secreted protein",Coagulation factor IX exogenous protein
ALCAFTADINE,['Lastacaft'],Small molecule,"allergic conjunctivitis, eye allergy",Histamine H1 receptor,HRH1,Membrane receptor,Histamine H1 receptor antagonist
ALCLOFENAC,"['Allopydin' 'Epinal' 'Medifenac' 'Mervan' 'Neosten' 'Neoston' 'Prinalgin'
 'Reufenac' 'Zumaril']",Small molecule,rheumatic disease,Prostaglandin G/H synthase 1,PTGS1,Enzyme,Cyclooxygenase-1 inhibitor
ALCLOMETASONE DIPROPIONATE,['Aclovate' 'Alclometasone dipropionate' 'Modrasone'],Small molecule,"eye inflammation, skin disease",Glucocorticoid receptor,NR3C1,Transcription factor,Glucocorticoid receptor agonist
ALDESLEUKIN,['Proleukin'],Protein,"metastatic melanoma, neoplasm",Interleukin-2 receptor,"IL2RA, IL2RB",Membrane receptor,Interleukin-2 receptor agonist
ALECTINIB,['Alecensa'],Small molecule,neoplasm,"EML4-ALK, Proto-oncogene tyrosine-protein kinase receptor Ret","ALK, EML4, RET","Enzyme, Other nuclear protein, Unclassified protein","EML4-ALK inhibitor, Tyrosine-protein kinase receptor RET inhibitor"
ALECTINIB HYDROCHLORIDE,['Alecensa'],Small molecule,non-small cell lung carcinoma,"EML4-ALK, Proto-oncogene tyrosine-protein kinase receptor Ret","ALK, EML4, RET","Enzyme, Other nuclear protein, Unclassified protein","EML4-ALK inhibitor, Tyrosine-protein kinase receptor RET inhibitor"
ALEFACEPT,['Amevive'],Protein,immune system disease,T-cell surface antigen CD2,CD2,"Other membrane protein, Surface antigen",T-cell surface antigen CD2 inhibitor
ALEMTUZUMAB,"['Campath mabcampath' 'Campath mabcampath, lemtrada' 'Lemtrada'
 'Mabcampath']",Antibody,"chronic lymphocytic leukemia, multiple sclerosis",CAMPATH-1 antigen,CD52,Surface antigen,CAMPATH-1 antigen inhibitor
ALENDRONATE SODIUM,"['Alendronate sodium' 'Alendronate sodium component of fosamax plus d'
 'Binosto' 'Fosamax']",Small molecule,"metabolic disease, osteitis deformans, osteoporosis, postmenopausal osteoporosis",Farnesyl pyrophosphate synthase,FDPS,Enzyme,Farnesyl diphosphate synthase inhibitor
ALENDRONIC ACID,['Binosto' 'Fosamax'],Small molecule,bone disease,Farnesyl pyrophosphate synthase,FDPS,Enzyme,Farnesyl diphosphate synthase inhibitor
ALFUZOSIN,[],Small molecule,benign prostatic hyperplasia,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 agonist
ALFUZOSIN HYDROCHLORIDE,"['Alfutral sr' 'Alfuzosin hydrochloride' 'Benestan' 'Benestan ret'
 'Besavar xl' 'Fuzatal xl' 'Kelanu xl' 'Urion s' 'Uroxatral' 'Vasran xl'
 'Xatral' 'Xatral sr' 'Zufal xl']",Small molecule,benign prostatic hyperplasia,Adrenergic receptor alpha-1,"ADRA1A, ADRA1B, ADRA1D",Membrane receptor,Adrenergic receptor alpha-1 agonist
ALIROCUMAB,['Praluent'],Antibody,"Abnormal circulating lipid concentration, atherosclerosis, cardiovascular disease, coronary artery disease, familial hypercholesterolemia",Proprotein convertase subtilisin/kexin type 9,PCSK9,Enzyme,Subtilisin/kexin type 9 inhibitor
ALISKIREN,['Rasilez'],Small molecule,cardiovascular disease,Renin,REN,Enzyme,Renin inhibitor
ALISKIREN FUMARATE,"['Aliskiren fumarate component of amturnide  aliskiren hemifumarate'
 'Aliskiren fumarate component of raprazo-hct  aliskiren hemifumarate'
 'Aliskiren fumarate component of rasilamlo  aliskiren hemifumarate'
 'Aliskiren fumarate component of rasilez-hct  aliskiren hemifumarate'
 'Aliskiren fumarate component of rasitrio  aliskiren hemifumarate'
 'Aliskiren fumarate component of sprimeo-hct  aliskiren hemifumarate'
 'Aliskiren fumarate component of tekamlo  aliskiren hemifumarate'
 'Aliskiren fumarate component of tekturna hct  aliskiren hemifumarate'
 'Aliskiren fumarate component of valturna  aliskiren hemifumarate'
 'Aliskiren hemifumarate component of amturnide'
 'Aliskiren hemifumarate component of tekamlo'
 'Aliskiren hemifumarate component of valturna' 'Enviage' 'Rasilez'
 'Riprazo' 'Sprimeo' 'Tekturna']",Small molecule,"hypertension, stroke",Renin,REN,Enzyme,Renin inhibitor
ALITRETINOIN,['Panretin' 'Toctino'],Small molecule,"Eczematoid dermatitis, Kaposi's sarcoma, neoplasm",Retinoid receptor,"RARA, RARB, RARG, RXRA, RXRB, RXRG","Enzyme, Transcription factor",Retinoid receptor agonist
ALLOPURINOL,"['Allopurinol' 'Allopurinol component of duzallo' 'Aloral' 'Aluline 100'
 'Aluline 300' 'Caplenal' 'Cosuric' 'Hamarin 100' 'Hamarin 300' 'Ledopur'
 'Lopurin' 'Uricto' 'Xanthomax-100' 'Xanthomax-300' 'Zyloprim' 'Zyloric'
 'Zyloric-300']",Small molecule,"cancer, gout, leukemia, lymphoma",Xanthine dehydrogenase/oxidase,XDH,Enzyme,Xanthine dehydrogenase inhibitor
ALMOTRIPTAN MALATE,['Almotriptan malate' 'Axert'],Small molecule,migraine disorder,"5-hydroxytryptamine receptor 1B, 5-hydroxytryptamine receptor 1D, 5-hydroxytryptamine receptor 1F","HTR1B, HTR1D, HTR1F","Ion channel, Membrane receptor","Serotonin 1b (5-HT1b) receptor agonist, Serotonin 1d (5-HT1d) receptor agonist, Serotonin 1f (5-HT1f) receptor agonist"
ALOGLIPTIN BENZOATE,"['Alogliptin benzoate component of kazano'
 'Alogliptin benzoate component of oseni' 'Nesina' 'Vipidia']",Small molecule,type 2 diabetes mellitus,Dipeptidyl peptidase 4,DPP4,Enzyme,Dipeptidyl peptidase IV inhibitor
ALOSETRON,[],Small molecule,gastrointestinal disease,5-hydroxytryptamine receptor 3A,HTR3A,"Ion channel, Membrane receptor",Serotonin 3a (5-HT3a) receptor antagonist
ALOSETRON HYDROCHLORIDE,['Alosetron hydrochloride' 'Lotronex'],Small molecule,irritable bowel syndrome,5-hydroxytryptamine receptor 3A,HTR3A,"Ion channel, Membrane receptor",Serotonin 3a (5-HT3a) receptor antagonist
ALOXIPRIN,['Palaprin fte'],Unknown,"Fever, Pain, Recurrent thrombophlebitis",Cyclooxygenase,"PTGS1, PTGS2",Enzyme,Cyclooxygenase inhibitor
ALPELISIB,['Piqray' 'Vijoice'],Small molecule,"breast cancer, breast carcinoma, breast neoplasm, neoplasm","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,Enzyme,PI3-kinase p110-alpha subunit inhibitor
ALPRAZOLAM,['Alprazolam' 'Niravam' 'Xanax' 'Xanax xr'],Small molecule,"Anxiety, anxiety disorder, generalized anxiety disorder, panic disorder",GABA-A receptor; anion channel,"GABRA1, GABRA2, GABRA3, GABRA5, GABRG1, GABRG2, GABRG3",Ion channel,GABA-A receptor; anion channel positive allosteric modulator
ALPROSTADIL,"['Alprostadil' 'Caverject' 'Caverject impulse' 'Edex' 'Prostin vr'
 'Prostin vr pediatric' 'Viridal 10' 'Viridal 20' 'Viridal 5'
 'Viridal duo' 'Vitaros']",Small molecule,"Patent ductus arteriosus, cardiovascular disease, erectile dysfunction","Prostaglandin E2 receptor EP1 subtype, Prostaglandin E2 receptor EP2 subtype","PTGER1, PTGER2",Membrane receptor,"Prostanoid EP1 receptor agonist, Prostanoid EP2 receptor agonist"
ALTEPLASE,['Actilyse' 'Actilyse cathflo' 'Activase' 'Cathflo activase'],Enzyme,"Recurrent thrombophlebitis, congestive heart failure, eye disease, heart failure, myocardial infarction, pulmonary embolism, stroke, thrombotic disease",Tissue-type plasminogen activator,PLAT,Enzyme,Tissue-type plasminogen activator exogenous protein
ALVIMOPAN,['Entereg'],Small molecule,Constipation,Mu-type opioid receptor,OPRM1,Membrane receptor,Mu opioid receptor antagonist
AMANTADINE,[],Small molecule,Parkinson disease,Glutamate [NMDA] receptor,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,Glutamate [NMDA] receptor antagonist
AMANTADINE HYDROCHLORIDE,"['Amantadine hydrochloride' 'Gocovri' 'Lysovir' 'Mantadine' 'Osmolex er'
 'Symadine' 'Symmetrel']",Small molecule,"Parkinson disease, Parkinsonism, cerebral atherosclerosis, infection, influenza, postencephalitic Parkinson disease, secondary Parkinson disease",Glutamate [NMDA] receptor,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B",Ion channel,Glutamate [NMDA] receptor antagonist
AMBRISENTAN,['Ambrisentan mylan' 'Letairis' 'Volibris'],Small molecule,"hypertension, pulmonary arterial hypertension, pulmonary hypertension","Endothelin receptor, ET-A/ET-B","EDNRA, EDNRB",Membrane receptor,"Endothelin receptor, ET-A/ET-B antagonist"
AMIFAMPRIDINE,['Ruzurgi'],Small molecule,Myasthenia gravis,Voltage-gated potassium channel,"KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2","Ion channel, Transporter",Voltage-gated potassium channel blocker
AMIFAMPRIDINE PHOSPHATE,['Amifampridine serb' 'Firdapse' 'Firdapse (previously zenas)'],Small molecule,Myasthenia gravis,Voltage-gated potassium channel,"KCNA1, KCNA10, KCNA2, KCNA3, KCNA4, KCNA5, KCNA6, KCNA7, KCNB1, KCNB2, KCNC1, KCNC2, KCNC3, KCNC4, KCND1, KCND2, KCND3, KCNF1, KCNG1, KCNG2, KCNG3, KCNG4, KCNH1, KCNH2, KCNH3, KCNH4, KCNH5, KCNH6, KCNH7, KCNH8, KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KCNS1, KCNS2, KCNS3, KCNV1, KCNV2","Ion channel, Transporter",Voltage-gated potassium channel blocker
AMILORIDE,[],Small molecule,cardiovascular disease,"Amiloride-sensitive sodium channel, ENaC",SCNN1A,Ion channel,"Amiloride-sensitive sodium channel, ENaC blocker"
AMILORIDE HYDROCHLORIDE,"['Amilamont' 'Amiloride hydrochloride'
 'Amiloride hydrochloride component of hydro-ride'
 'Amiloride hydrochloride component of moduretic' 'Amilospare 5' 'Amoride'
 'Berkamil' 'Midamor']",Small molecule,"cardiac arrhythmia, congestive heart failure, hypertension","Amiloride-sensitive sodium channel, ENaC",SCNN1A,Ion channel,"Amiloride-sensitive sodium channel, ENaC blocker"
AMINOCAPROIC ACID,['Amicar' 'Aminocaproic' 'Aminocaproic acid' 'Epsikapron'],Small molecule,hemorrhage,"Plasminogen, Tissue-type plasminogen activator","PLAT, PLG",Enzyme,"Plasminogen inhibitor, Tissue-type plasminogen activator inhibitor"
AMINOGLUTETHIMIDE,['Cytadren' 'Orimeten'],Small molecule,neoplasm,"Aromatase, Cholesterol side-chain cleavage enzyme, mitochondrial","CYP11A1, CYP19A1","Enzyme, Unclassified protein","Cytochrome P450 11A1 inhibitor, Cytochrome P450 19A1 inhibitor"
AMINOPHYLLINE,"['Aminophyllin' 'Aminophylline' 'Aminophylline dye free' 'Ammophyllin'
 'Amnivent-225 sr' 'Amnivent-350 sr' 'Peterphyllin' 'Phyllocontin'
 'Somophyllin' 'Somophyllin-df' 'Truphylline']",Protein,"Airway obstruction, asthma","Adenosine receptor, Phosphodiesterase 3, Phosphodiesterase 4","ADORA1, ADORA2A, ADORA2B, ADORA3, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D","Enzyme, Membrane receptor","Adenosine receptor antagonist, Phosphodiesterase 3 inhibitor, Phosphodiesterase 4 inhibitor"
AMIODARONE,[],Small molecule,"Ventricular arrhythmia, cardiac arrhythmia",Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,Ion channel,HERG blocker
AMIODARONE HYDROCHLORIDE,"['Amidox' 'Amiodarone hydrochloride' 'Amyben' 'Cordarone' 'Cordarone x'
 'Cordarone x 100' 'Cordarone x 200' 'Darmil' 'Nexterone' 'Pacerone']",Small molecule,"Ventricular arrhythmia, ventricular fibrillation, ventricular tachycardia",Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,Ion channel,HERG blocker
AMISULPRIDE,['Barhemsys' 'Solian' 'Solian 100' 'Solian 200' 'Solian 400' 'Solian 50'],Small molecule,"Nausea and vomiting, post operative nausea and vomiting, psychosis","Dopamine receptors; D2 & D3, Serotonin (5-HT) receptor","DRD2, DRD3, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR3A, HTR3B, HTR3C, HTR3D, HTR3E, HTR4, HTR5A, HTR6, HTR7","Ion channel, Membrane receptor","Dopamine receptors; D2 & D3 antagonist, Serotonin (5-HT) receptor antagonist"
